simulation_id,time_step,susceptible,infected,recovered
0,0,95,5,0
0,1,88,12,0
0,2,77,23,0
0,3,63,37,0
0,4,51,49,0
0,5,40,60,0
0,6,26,74,0
0,7,18,82,0
0,8,12,88,0
0,9,7,93,0
0,10,5,95,0
0,11,4,96,0
0,12,3,97,0
0,13,3,97,0
0,14,2,98,0
0,15,1,99,0
0,16,1,99,0
0,17,0,100,0
0,18,0,100,0
0,19,0,100,0
0,20,0,100,0
0,21,0,95,5
0,22,0,88,12
0,23,0,77,23
0,24,0,63,37
0,25,0,51,49
0,26,0,40,60
0,27,0,26,74
0,28,0,18,82
0,29,0,12,88
0,30,0,7,93
0,31,0,5,95
0,32,0,4,96
0,33,0,3,97
0,34,0,3,97
0,35,0,2,98
0,36,0,1,99
0,37,0,1,99
0,38,0,0,100
0,39,0,0,100
0,40,0,0,100
0,41,0,0,100
0,42,0,0,100
0,43,0,0,100
0,44,0,0,100
0,45,0,0,100
0,46,0,0,100
0,47,0,0,100
0,48,0,0,100
0,49,0,0,100
0,50,0,0,100
0,51,0,0,100
0,52,0,0,100
0,53,0,0,100
0,54,0,0,100
0,55,0,0,100
0,56,0,0,100
0,57,0,0,100
0,58,0,0,100
0,59,0,0,100
0,60,0,0,100
0,61,0,0,100
0,62,0,0,100
0,63,0,0,100
0,64,0,0,100
0,65,0,0,100
0,66,0,0,100
0,67,0,0,100
0,68,0,0,100
0,69,0,0,100
0,70,0,0,100
0,71,0,0,100
0,72,0,0,100
0,73,0,0,100
0,74,0,0,100
0,75,0,0,100
0,76,0,0,100
0,77,0,0,100
0,78,0,0,100
0,79,0,0,100
0,80,0,0,100
0,81,0,0,100
0,82,0,0,100
0,83,0,0,100
0,84,0,0,100
0,85,0,0,100
0,86,0,0,100
0,87,0,0,100
0,88,0,0,100
0,89,0,0,100
0,90,0,0,100
0,91,0,0,100
0,92,0,0,100
0,93,0,0,100
0,94,0,0,100
0,95,0,0,100
0,96,0,0,100
0,97,0,0,100
0,98,0,0,100
0,99,0,0,100
